	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CLU	428.107	0.529	0.097	5.473	0.0	0.0
CLUAP1	366.335	0.182	0.094	1.947	0.052	0.11
CLUL1	18.206	-0.02	0.208	-0.094	0.925	0.955
CLVS1	0.596	-0.031	0.075	-0.405	0.685	
CLVS2	14.404	0.112	0.207	0.541	0.588	0.711
CLYBL	80.019	0.191	0.16	1.192	0.233	0.362
CMA1	0.279	-0.001	0.052	-0.013	0.99	
CMAHP	8.945	0.357	0.196	1.82	0.069	0.139
CMAS	2728.857	0.003	0.052	0.049	0.961	0.976
CMBL	922.744	-0.077	0.071	-1.086	0.277	0.412
CMC1	435.514	0.294	0.089	3.294	0.001	0.004
CMC2	539.455	0.067	0.081	0.827	0.408	0.55
CMIP	852.013	0.117	0.074	1.573	0.116	0.211
CMKLR1	0.774	0.0	0.076	0.0	1.0	
CMPK1	4321.721	-0.151	0.054	-2.806	0.005	0.015
CMPK2	22.456	-0.159	0.207	-0.768	0.443	0.583
CMTM1	21.499	-0.506	0.207	-2.438	0.015	0.039
CMTM2	1.591	-0.047	0.112	-0.414	0.679	
CMTM3	432.242	0.358	0.089	4.001	0.0	0.0
CMTM4	2076.586	-0.022	0.058	-0.382	0.703	0.8
CMTM5	0.752	0.044	0.084	0.522	0.602	
CMTM6	3176.039	0.152	0.058	2.623	0.009	0.025
CMTM7	673.721	-0.178	0.084	-2.113	0.035	0.079
CMTM8	304.181	0.32	0.103	3.093	0.002	0.007
CMYA5	132.917	-0.265	0.148	-1.788	0.074	0.147
CN5H6.4	45.405	0.48	0.191	2.517	0.012	0.032
CNBD1	0.0					
CNBP	12933.488	0.001	0.047	0.014	0.989	0.993
CNDP1	0.509	0.019	0.066	0.29	0.772	
CNDP2	1040.379	-0.245	0.065	-3.799	0.0	0.001
CNEP1R1	324.54	0.104	0.099	1.059	0.29	0.426
CNFN	50.059	-0.093	0.184	-0.504	0.614	0.733
CNGA1	18.233	0.388	0.208	1.864	0.062	0.128
CNGA2	0.271	-0.016	0.051	-0.302	0.762	
CNGA3	0.0					
CNGA4	8.066	0.059	0.191	0.311	0.756	0.841
CNGB1	0.845	-0.059	0.083	-0.712	0.476	
CNGB3	0.241	-0.028	0.05	-0.571	0.568	
CNIH	2504.748	-0.277	0.058	-4.777	0.0	0.0
CNIH2	109.478	-0.297	0.146	-2.032	0.042	0.093
CNIH3	103.781	0.563	0.153	3.673	0.0	0.001
CNIH4	1466.33	0.074	0.062	1.205	0.228	0.356
CNKSR1	63.272	-0.602	0.18	-3.349	0.001	0.003
CNKSR2	41.359	0.13	0.19	0.685	0.493	0.629
CNKSR3	718.066	0.286	0.073	3.912	0.0	0.0
CNN1	17.003	0.412	0.207	1.984	0.047	0.102
CNN2	596.515	-0.046	0.091	-0.503	0.615	0.733
CNN3	4298.127	0.184	0.046	4.032	0.0	0.0
CNNM1	357.888	-0.342	0.099	-3.445	0.001	0.002
CNNM2	442.057	0.084	0.089	0.949	0.342	0.484
CNNM3	2067.573	-0.36	0.055	-6.51	0.0	0.0
CNNM4	1164.381	0.148	0.063	2.345	0.019	0.048
CNO	570.296	0.133	0.085	1.572	0.116	0.211
CNOT1	7579.147	0.005	0.043	0.109	0.913	0.947
CNOT10	2128.541	-0.218	0.055	-3.988	0.0	0.0
CNOT2	2260.932	-0.052	0.053	-0.978	0.328	0.468
CNOT3	3108.235	-0.131	0.062	-2.125	0.034	0.077
CNOT4	1534.443	0.026	0.061	0.422	0.673	0.778
CNOT6	4247.062	-0.015	0.056	-0.265	0.791	0.864
CNOT6L	1424.202	0.153	0.074	2.067	0.039	0.087
CNOT7	2587.244	-0.307	0.056	-5.49	0.0	0.0
CNOT8	2119.422	-0.006	0.057	-0.098	0.922	0.953
CNP	2582.623	-0.364	0.052	-6.953	0.0	0.0
CNPPD1	501.828	-0.325	0.09	-3.603	0.0	0.001
CNPY1	174.073	0.439	0.121	3.622	0.0	0.001
CNPY2	1029.833	-0.105	0.064	-1.627	0.104	0.193
CNPY3	1109.103	-0.415	0.065	-6.343	0.0	0.0
CNPY4	270.808	-0.127	0.11	-1.156	0.248	0.379
CNR1	43.015	-0.374	0.191	-1.954	0.051	0.108
CNR2	1.487	-0.121	0.113	-1.067	0.286	
CNRIP1	305.315	-0.328	0.101	-3.238	0.001	0.004
CNST	321.034	-0.056	0.102	-0.551	0.582	0.706
CNTD1	11.775	0.418	0.203	2.064	0.039	0.088
CNTD2	6.724	0.145	0.179	0.81	0.418	0.559
CNTF	1.311	-0.053	0.103	-0.514	0.607	
CNTFR	83.777	0.566	0.161	3.526	0.0	0.002
CNTLN	574.966	0.189	0.082	2.305	0.021	0.052
CNTN1	648.693	0.494	0.084	5.903	0.0	0.0
CNTN2	0.54	0.024	0.074	0.331	0.741	
CNTN3	0.0					
CNTN4	3.573	-0.016	0.157	-0.104	0.917	0.95
CNTN5	0.0					
CNTN6	0.0					
CNTNAP1	295.04	0.625	0.107	5.827	0.0	0.0
CNTNAP2	1771.044	-0.088	0.055	-1.602	0.109	0.201
CNTNAP3	53.942	0.229	0.179	1.28	0.2	0.323
CNTNAP3B	14.686	0.139	0.206	0.674	0.5	0.635
CNTNAP4	0.0					
CNTNAP5	0.0					
CNTRL	1190.167	0.026	0.063	0.415	0.678	0.782
CNTROB	1124.71	0.023	0.066	0.339	0.734	0.824
COA5	1041.816	0.163	0.066	2.483	0.013	0.035
COASY	2086.015	0.212	0.066	3.221	0.001	0.005
COBL	879.186	-0.094	0.073	-1.281	0.2	0.323
COBLL1	620.676	0.25	0.083	3.026	0.002	0.008
COBRA1	1656.159	-0.219	0.068	-3.221	0.001	0.005
COCH	2487.038	0.424	0.06	7.047	0.0	0.0
COG1	1124.882	0.152	0.064	2.362	0.018	0.046
COG2	1378.119	0.455	0.059	7.666	0.0	0.0
COG3	757.868	0.133	0.074	1.8	0.072	0.144
COG4	1068.713	0.068	0.069	0.986	0.324	0.464
COG5	1221.08	0.011	0.061	0.174	0.862	0.913
COG6	866.407	0.005	0.068	0.069	0.945	0.967
COG7	512.236	0.161	0.092	1.75	0.08	0.157
COG8	441.573	-0.26	0.093	-2.802	0.005	0.016
COIL	2235.003	-0.288	0.058	-4.964	0.0	0.0
COL10A1	0.455	0.044	0.064	0.694	0.488	
COL11A1	0.0					
COL11A2	89.478	-0.598	0.167	-3.589	0.0	0.001
COL12A1	63.708	0.43	0.183	2.352	0.019	0.047
COL13A1	113.33	0.93	0.15	6.206	0.0	0.0
COL14A1	295.115	0.515	0.103	4.999	0.0	0.0
COL15A1	7.697	0.297	0.19	1.562	0.118	0.215
COL16A1	5.813	-0.031	0.182	-0.17	0.865	0.915
COL17A1	16.065	-0.563	0.207	-2.723	0.006	0.019
COL18A1	914.017	0.226	0.075	3.018	0.003	0.009
COL18A1-AS1	0.0					
COL19A1	73.787	0.48	0.172	2.789	0.005	0.016
COL1A1	1073.199	-0.062	0.07	-0.888	0.375	0.516
COL1A2	0.111	-0.01	0.042	-0.246	0.806	
COL20A1	1.978	0.032	0.126	0.256	0.798	
COL21A1	74.136	0.734	0.166	4.421	0.0	0.0
COL22A1	7.494	0.099	0.191	0.516	0.606	0.725
COL23A1	23.329	1.025	0.207	4.956	0.0	0.0
COL24A1	117.874	0.478	0.146	3.284	0.001	0.004
COL25A1	543.626	0.22	0.086	2.547	0.011	0.03
COL27A1	309.538	0.481	0.112	4.278	0.0	0.0
COL28A1	3.48	-0.202	0.149	-1.361	0.173	0.289
COL2A1	3444.449	0.824	0.056	14.814	0.0	0.0
COL3A1	26.758	0.711	0.204	3.485	0.0	0.002
COL4A1	1570.367	0.286	0.068	4.223	0.0	0.0
COL4A2	1948.104	0.177	0.057	3.123	0.002	0.006
COL4A3	60.144	0.262	0.172	1.522	0.128	0.228
COL4A3BP	1067.153	0.053	0.069	0.777	0.437	0.578
COL4A4	167.58	0.515	0.138	3.742	0.0	0.001
COL4A5	3009.819	0.235	0.056	4.203	0.0	0.0
COL4A6	1448.251	0.355	0.067	5.327	0.0	0.0
COL5A1	247.237	1.085	0.113	9.605	0.0	0.0
COL5A2	152.522	0.133	0.13	1.022	0.307	0.445
COL5A3	6.101	0.203	0.182	1.114	0.265	0.398
COL6A1	1034.404	0.154	0.076	2.038	0.042	0.092
COL6A2	431.469	1.009	0.098	10.309	0.0	0.0
COL6A3	7.387	0.071	0.19	0.374	0.709	0.804
COL6A4P1	36.136	0.572	0.196	2.915	0.004	0.011
COL6A4P2	5.809	0.134	0.177	0.754	0.451	0.591
COL6A5	13.85	-0.219	0.205	-1.069	0.285	0.421
COL6A6	10.23	0.179	0.198	0.903	0.367	0.508
COL7A1	59.578	-0.09	0.178	-0.508	0.612	0.73
COL8A1	8.095	0.217	0.191	1.137	0.256	0.388
COL8A2	4.555	-0.062	0.17	-0.367	0.714	0.807
COL9A1	1.673	-0.148	0.116	-1.275	0.202	
COL9A2	187.463	-0.158	0.12	-1.314	0.189	0.309
COL9A3	201.41	0.166	0.118	1.409	0.159	0.27
COLEC10	1.647	-0.044	0.117	-0.372	0.71	
COLEC11	28.312	-0.062	0.202	-0.307	0.759	0.843
COLEC12	631.393	0.227	0.084	2.7	0.007	0.02
COLQ	94.374	-0.09	0.163	-0.552	0.581	0.705
COMMD1	273.145	0.17	0.106	1.595	0.111	0.203
COMMD10	504.816	0.135	0.086	1.567	0.117	0.213
COMMD2	2436.516	0.024	0.059	0.404	0.686	0.788
COMMD3	522.716	-0.059	0.081	-0.729	0.466	0.605
COMMD3-BMI1	0.112	0.009	0.042	0.226	0.821	
COMMD4	1328.01	-0.588	0.072	-8.215	0.0	0.0
COMMD5	369.003	-0.229	0.102	-2.23	0.026	0.062
COMMD6	1333.045	0.006	0.067	0.091	0.927	0.956
COMMD7	821.137	-0.229	0.071	-3.206	0.001	0.005
COMMD8	703.664	-0.038	0.079	-0.481	0.63	0.745
COMMD9	733.038	-0.532	0.08	-6.628	0.0	0.0
COMP	14.672	0.316	0.207	1.526	0.127	0.227
COMT	707.742	-0.064	0.077	-0.831	0.406	0.547
COMTD1	444.337	-0.058	0.09	-0.647	0.518	0.651
COPA	5566.411	-0.004	0.046	-0.087	0.931	0.958
COPB1	5085.109	0.001	0.049	0.013	0.99	0.994
COPB2	7652.536	0.068	0.046	1.474	0.141	0.246
COPE	2365.461	-0.224	0.059	-3.82	0.0	0.001
COPG1	4426.388	0.03	0.051	0.587	0.557	0.686
COPG2	1152.281	-0.161	0.062	-2.597	0.009	0.026
COPS2	3643.936	0.016	0.063	0.263	0.792	0.865
COPS3	4637.976	-0.037	0.051	-0.736	0.461	0.601
COPS4	1745.112	-0.066	0.058	-1.13	0.258	0.391
COPS5	1081.565	-0.203	0.065	-3.103	0.002	0.007
COPS6	3187.024	-0.227	0.058	-3.943	0.0	0.0
COPS7A	1746.578	0.009	0.066	0.138	0.89	0.932
COPS7B	1783.94	-0.15	0.059	-2.528	0.011	0.031
COPS8	1780.368	-0.228	0.062	-3.653	0.0	0.001
COPZ1	3332.108	-0.07	0.048	-1.446	0.148	0.256
COPZ2	14.1	0.7	0.206	3.399	0.001	0.003
COQ10A	494.551	-0.112	0.086	-1.301	0.193	0.314
COQ10B	775.338	0.072	0.074	0.98	0.327	0.467
COQ2	341.498	0.254	0.099	2.575	0.01	0.028
COQ3	754.496	0.1	0.073	1.371	0.17	0.286
COQ4	524.08	-0.286	0.084	-3.395	0.001	0.003
COQ5	963.082	0.181	0.065	2.78	0.005	0.017
COQ6	492.068	0.128	0.086	1.497	0.134	0.237
COQ7	946.904	-0.266	0.069	-3.832	0.0	0.001
COQ9	761.29	-0.042	0.076	-0.559	0.576	0.701
CORIN	67.44	-0.574	0.174	-3.293	0.001	0.004
CORO1A	72.753	0.063	0.164	0.384	0.701	0.799
CORO1B	811.656	0.085	0.074	1.149	0.251	0.382
CORO1C	4896.982	-0.177	0.043	-4.137	0.0	0.0
CORO2A	439.47	0.168	0.088	1.921	0.055	0.116
CORO2B	55.482	0.597	0.18	3.319	0.001	0.003
CORO6	285.33	0.191	0.115	1.667	0.096	0.181
CORO7	111.095	0.307	0.147	2.097	0.036	0.082
CORO7-PAM16	0.583	-0.024	0.071	-0.332	0.74	
CORT	5.249	0.137	0.175	0.784	0.433	0.574
COTL1	1942.086	-0.179	0.06	-2.977	0.003	0.01
COX10	610.76	-0.147	0.081	-1.823	0.068	0.138
COX11	1623.116	0.099	0.061	1.62	0.105	0.196
COX14	423.977	-0.242	0.093	-2.608	0.009	0.026
COX15	2113.205	-0.212	0.055	-3.839	0.0	0.001
COX16	220.796	-0.03	0.116	-0.263	0.792	0.865
COX17	323.156	-0.326	0.098	-3.331	0.001	0.003
COX18	594.344	0.134	0.079	1.703	0.089	0.17
COX19	509.181	-0.088	0.083	-1.059	0.289	0.426
COX20	643.863	0.04	0.079	0.507	0.612	0.731
COX4I1	3211.938	-0.047	0.053	-0.892	0.372	0.514
COX4I2	0.0					
COX4NB	936.937	-0.109	0.07	-1.557	0.12	0.216
COX5A	1982.383	-0.127	0.056	-2.262	0.024	0.058
COX5B	2798.065	-0.153	0.063	-2.42	0.016	0.04
COX6A1	1790.588	-0.061	0.065	-0.935	0.35	0.491
COX6A2	0.112	0.009	0.042	0.226	0.821	
COX6B1	2337.513	-0.269	0.063	-4.255	0.0	0.0
COX6B2	17.349	0.429	0.208	2.067	0.039	0.087
COX6C	1069.432	0.057	0.067	0.853	0.394	0.535
COX7A1	0.0					
COX7A2	1790.928	0.084	0.061	1.381	0.167	0.282
COX7A2L	1871.558	-0.031	0.054	-0.572	0.567	0.693
COX7B	1648.569	-0.085	0.056	-1.513	0.13	0.232
COX7B2	0.247	-0.015	0.05	-0.294	0.769	
COX7C	2895.671	-0.186	0.077	-2.409	0.016	0.041
COX8A	2330.314	-0.069	0.055	-1.248	0.212	0.337
COX8C	3.395	0.037	0.151	0.241	0.809	0.876
CP	0.288	0.03	0.052	0.579	0.563	
CPA1	0.871	-0.116	0.088	-1.328	0.184	
CPA2	18.788	-0.263	0.207	-1.269	0.204	0.328
CPA3	0.918	0.171	0.088	1.93	0.054	
CPA4	2.48	-0.004	0.137	-0.032	0.974	
CPA5	1.805	0.071	0.12	0.586	0.558	
CPA6	0.0					
CPAMD8	5.832	0.426	0.175	2.426	0.015	0.04
CPB1	0.26	-0.025	0.047	-0.54	0.589	
CPB2	0.0					
CPD	5621.753	0.05	0.061	0.82	0.412	0.554
CPE	2581.23	-0.019	0.057	-0.342	0.733	0.823
CPEB1	140.534	-0.452	0.135	-3.342	0.001	0.003
CPEB2	596.992	0.37	0.079	4.69	0.0	0.0
CPEB3	281.609	0.338	0.107	3.154	0.002	0.006
CPEB4	1531.4	0.261	0.063	4.18	0.0	0.0
CPLX1	138.737	0.644	0.142	4.535	0.0	0.0
CPLX2	8.171	0.477	0.192	2.485	0.013	0.035
CPLX3	4.089	0.011	0.158	0.068	0.946	0.968
CPLX4	2.08	-0.113	0.125	-0.904	0.366	
CPM	198.623	0.361	0.117	3.085	0.002	0.007
CPN1	0.0					
CPN2	1.262	-0.072	0.102	-0.71	0.477	
CPNE1	2301.992	0.239	0.06	3.982	0.0	0.0
CPNE2	296.615	0.063	0.104	0.605	0.545	0.675
CPNE3	3062.599	-0.296	0.055	-5.355	0.0	0.0
CPNE4	14.065	0.324	0.206	1.57	0.116	0.212
CPNE5	10.776	0.267	0.201	1.33	0.183	0.302
CPNE6	0.596	0.052	0.068	0.762	0.446	
CPNE7	33.174	-0.059	0.197	-0.302	0.763	0.846
CPNE8	597.261	0.226	0.093	2.428	0.015	0.04
CPNE9	25.641	-0.295	0.204	-1.444	0.149	0.257
CPO	4.973	-0.287	0.17	-1.687	0.092	0.175
CPOX	1811.153	-0.13	0.066	-1.97	0.049	0.105
CPPED1	525.081	-0.138	0.083	-1.662	0.097	0.183
CPQ	41.807	0.143	0.191	0.746	0.456	0.596
CPS1	246.417	-0.279	0.113	-2.468	0.014	0.036
CPS1-IT1	0.0					
CPSF1	2044.263	0.032	0.064	0.501	0.616	0.734
CPSF2	2798.146	-0.165	0.053	-3.102	0.002	0.007
CPSF3	2533.908	-0.097	0.052	-1.877	0.061	0.125
CPSF3L	1310.469	0.273	0.073	3.732	0.0	0.001
CPSF4	1110.922	0.102	0.078	1.32	0.187	0.306
CPSF4L	0.295	0.035	0.056	0.626	0.532	
CPSF6	6267.501	-0.106	0.051	-2.072	0.038	0.086
CPSF7	5484.017	-0.428	0.051	-8.414	0.0	0.0
CPT1A	678.787	-0.093	0.076	-1.234	0.217	0.343
CPT1B	43.096	-0.092	0.189	-0.484	0.628	0.744
CPT1C	220.069	-0.187	0.116	-1.618	0.106	0.196
CPT2	1216.835	0.124	0.068	1.82	0.069	0.139
CPVL	1301.427	0.177	0.067	2.625	0.009	0.025
CPXCR1	0.13	-0.01	0.042	-0.246	0.806	
CPXM1	185.951	0.806	0.128	6.302	0.0	0.0
CPXM2	0.663	0.089	0.073	1.231	0.218	
CPZ	4.183	0.066	0.161	0.41	0.681	0.785
CR1	0.13	-0.01	0.042	-0.246	0.806	
CR1L	28.317	0.287	0.202	1.419	0.156	0.266
CR2	139.934	0.441	0.137	3.209	0.001	0.005
CRABP1	0.0					
CRABP2	1076.153	0.991	0.081	12.292	0.0	0.0
CRADD	201.876	0.072	0.117	0.612	0.54	0.67
CRAMP1L	1523.827	-0.184	0.06	-3.058	0.002	0.008
CRAT	534.729	0.227	0.096	2.358	0.018	0.047
CRB1	3.047	0.096	0.139	0.691	0.49	0.626
CRB2	11.212	-0.005	0.203	-0.026	0.979	0.987
CRB3	10.152	0.077	0.2	0.384	0.701	0.799
CRBN	1358.037	-0.069	0.067	-1.032	0.302	0.44
CRCP	1455.304	-0.278	0.065	-4.254	0.0	0.0
CRCT1	0.0					
CREB1	1576.288	0.14	0.068	2.064	0.039	0.087
CREB3	496.549	-0.289	0.085	-3.397	0.001	0.003
CREB3L1	144.649	0.927	0.136	6.837	0.0	0.0
CREB3L2	2361.21	0.693	0.053	13.072	0.0	0.0
CREB3L3	2.278	-0.173	0.131	-1.32	0.187	
CREB3L4	284.951	0.224	0.11	2.04	0.041	0.092
CREB5	2129.184	0.475	0.058	8.134	0.0	0.0
CREBBP	3197.827	-0.099	0.061	-1.621	0.105	0.195
CREBL2	1586.391	-0.265	0.067	-3.967	0.0	0.0
CREBZF	4049.166	0.178	0.048	3.736	0.0	0.001
CREG1	1528.179	0.181	0.057	3.157	0.002	0.006
CREG2	32.782	0.541	0.199	2.717	0.007	0.02
CRELD1	408.519	0.454	0.089	5.085	0.0	0.0
CRELD2	490.41	-0.047	0.088	-0.533	0.594	0.716
CREM	792.269	0.178	0.069	2.572	0.01	0.028
CRH	0.112	0.009	0.042	0.226	0.821	
CRHBP	1.454	-0.114	0.11	-1.043	0.297	
CRHR1	30.113	1.083	0.203	5.337	0.0	0.0
CRHR2	1.253	0.047	0.102	0.459	0.646	
CRIM1	1077.057	0.316	0.07	4.482	0.0	0.0
CRIP1	1.24	0.0	0.1	0.002	0.999	
CRIP2	59.743	0.485	0.177	2.732	0.006	0.019
CRIP3	77.547	-0.349	0.176	-1.979	0.048	0.103
CRIPAK	138.25	0.029	0.137	0.208	0.835	0.893
CRIPT	455.76	-0.018	0.093	-0.197	0.844	0.899
CRISP1	0.13	-0.01	0.042	-0.246	0.806	
CRISP2	0.245	0.013	0.05	0.268	0.789	
CRISP3	0.21	-0.013	0.047	-0.277	0.782	
CRISPLD1	421.954	0.251	0.095	2.636	0.008	0.024
CRISPLD2	33.784	-0.194	0.201	-0.966	0.334	0.474
CRK	2315.902	-0.295	0.053	-5.558	0.0	0.0
CRKL	6010.11	0.003	0.047	0.054	0.957	0.973
CRLF1	41.396	1.371	0.195	7.031	0.0	0.0
CRLF2	0.0					
CRLF3	1292.086	0.036	0.064	0.566	0.571	0.697
CRLS1	1173.105	-0.149	0.064	-2.327	0.02	0.05
CRMP1	110.59	0.61	0.147	4.144	0.0	0.0
CRNDE	667.749	0.047	0.078	0.596	0.551	0.68
CRNKL1	1373.457	0.001	0.062	0.013	0.989	0.993
CRNN	0.0					
CROCC	723.021	-0.249	0.081	-3.084	0.002	0.007
CROCCP2	1223.727	-0.042	0.063	-0.655	0.512	0.646
CROCCP3	208.227	0.304	0.126	2.417	0.016	0.041
CROT	441.632	0.065	0.089	0.729	0.466	0.605
CRP	0.0					
CRSP8P	458.16	-0.073	0.094	-0.777	0.437	0.578
CRTAC1	75.686	0.416	0.168	2.479	0.013	0.035
CRTAM	0.271	0.014	0.051	0.278	0.781	
CRTAP	4518.954	-0.028	0.046	-0.603	0.546	0.676
CRTC1	527.535	-0.259	0.088	-2.936	0.003	0.011
CRTC2	1409.129	-0.32	0.065	-4.939	0.0	0.0
CRTC3	1405.242	-0.155	0.059	-2.613	0.009	0.025
CRX	4.474	0.143	0.168	0.855	0.392	0.534
CRY1	1225.851	0.145	0.064	2.257	0.024	0.058
CRY2	496.95	0.37	0.086	4.315	0.0	0.0
CRYAA	0.563	-0.05	0.072	-0.696	0.486	
CRYAB	9.806	0.741	0.198	3.738	0.0	0.001
CRYBA1	0.13	-0.01	0.042	-0.246	0.806	
CRYBA2	7.515	-0.386	0.189	-2.039	0.041	0.092
CRYBA4	0.654	-0.007	0.078	-0.085	0.932	
CRYBB1	1.437	0.008	0.108	0.077	0.939	
CRYBB2	6.896	-0.127	0.181	-0.702	0.483	0.62
CRYBB2P1	629.307	-0.197	0.083	-2.369	0.018	0.045
CRYBB3	10.179	0.228	0.2	1.142	0.254	0.385
CRYGA	0.0					
CRYGB	0.0					
CRYGC	0.08	0.0	0.042	0.0	1.0	
CRYGD	39.999	-0.148	0.192	-0.772	0.44	0.581
CRYGN	0.492	-0.051	0.068	-0.745	0.456	
CRYGS	25.829	0.222	0.206	1.076	0.282	0.417
CRYL1	158.442	0.442	0.134	3.305	0.001	0.004
CRYM	31.438	0.379	0.204	1.858	0.063	0.13
CRYM-AS1	13.652	-0.201	0.206	-0.975	0.33	0.47
CRYZ	825.112	-0.068	0.069	-0.981	0.327	0.466
CRYZL1	684.627	0.333	0.078	4.279	0.0	0.0
CS	6308.685	-0.271	0.055	-4.937	0.0	0.0
CSAD	360.797	0.133	0.094	1.416	0.157	0.268
CSAG1	0.279	-0.001	0.052	-0.013	0.99	
CSAG2	0.0					
CSAG3	0.0					
CSDA	8795.427	-0.211	0.049	-4.316	0.0	0.0
CSDAP1	5466.084	-0.289	0.047	-6.127	0.0	0.0
CSDC2	85.029	0.331	0.167	1.979	0.048	0.103
CSDE1	30769.41	-0.428	0.045	-9.413	0.0	0.0
CSE1L	12157.615	-0.185	0.046	-4.06	0.0	0.0
CSF1	311.748	0.495	0.109	4.531	0.0	0.0
CSF1R	3.188	-0.035	0.152	-0.229	0.819	0.882
CSF2	0.357	0.035	0.056	0.619	0.536	
CSF2RA	0.0					
CSF2RB	2.089	-0.038	0.126	-0.299	0.765	
CSF3	3.743	-0.224	0.154	-1.455	0.146	0.253
CSF3R	3.161	0.067	0.146	0.459	0.646	0.758
CSGALNACT1	24.595	0.657	0.206	3.188	0.001	0.005
CSGALNACT2	968.917	0.139	0.074	1.889	0.059	0.123
CSH1	0.0					
CSH2	0.0					
CSHL1	0.357	-0.001	0.059	-0.014	0.989	
CSK	2358.396	-0.299	0.066	-4.537	0.0	0.0
CSMD1	0.279	-0.031	0.052	-0.599	0.549	
CSMD2	4.134	-0.096	0.162	-0.595	0.552	0.681
CSMD3	0.279	-0.031	0.052	-0.599	0.549	
CSN1S1	0.08	0.0	0.042	0.0	1.0	
CSN1S2AP	0.0					
CSN1S2BP	0.0					
CSN2	0.111	-0.01	0.042	-0.246	0.806	
CSN3	0.0					
CSNK1A1	5349.224	-0.108	0.053	-2.044	0.041	0.091
CSNK1A1L	719.985	-0.07	0.08	-0.875	0.382	0.522
CSNK1A1P1	262.537	-0.166	0.109	-1.533	0.125	0.225
CSNK1D	6013.518	-0.159	0.051	-3.131	0.002	0.006
CSNK1E	9153.033	-0.002	0.056	-0.034	0.973	0.984
CSNK1G1	1071.152	-0.33	0.068	-4.837	0.0	0.0
CSNK1G2	2484.317	-0.411	0.055	-7.458	0.0	0.0
CSNK1G2-AS1	0.0					
CSNK1G3	2224.272	0.041	0.062	0.66	0.509	0.644
CSNK2A1	2613.121	-0.218	0.051	-4.291	0.0	0.0
CSNK2A1P	2304.309	-0.205	0.056	-3.675	0.0	0.001
CSNK2A2	1130.352	-0.114	0.065	-1.752	0.08	0.157
CSNK2B	3395.481	-0.197	0.056	-3.53	0.0	0.002
CSPG4	294.715	0.472	0.105	4.488	0.0	0.0
CSPG4P1Y	0.0					
CSPG5	630.867	0.33	0.084	3.943	0.0	0.0
CSPP1	689.054	-0.015	0.076	-0.19	0.85	0.903
CSRNP1	793.884	0.641	0.073	8.749	0.0	0.0
CSRNP2	894.685	-0.043	0.069	-0.621	0.535	0.666
CSRNP3	529.525	0.772	0.087	8.883	0.0	0.0
CSRP1	418.29	-0.15	0.09	-1.664	0.096	0.182
CSRP2	926.313	0.245	0.066	3.732	0.0	0.001
CSRP2BP	690.001	-0.22	0.073	-3.017	0.003	0.009
CSRP3	0.487	0.063	0.066	0.947	0.343	
CST1	1.796	-0.002	0.119	-0.018	0.985	
CST11	0.0					
CST2	0.0					
CST3	1486.652	0.089	0.076	1.179	0.239	0.369
CST4	0.0					
CST5	0.134	0.0	0.042	0.0	1.0	
CST6	0.191	-0.012	0.046	-0.267	0.789	
CST7	0.0					
CST8	0.0					
CST9	0.0					
CST9L	0.167	-0.01	0.042	-0.246	0.806	
CSTA	3.235	-0.122	0.145	-0.839	0.401	0.543
CSTB	1417.169	-0.592	0.06	-9.788	0.0	0.0
CSTF1	1177.717	-0.146	0.07	-2.094	0.036	0.082
CSTF2	1304.095	-0.3	0.061	-4.891	0.0	0.0
CSTF2T	2109.985	-0.016	0.052	-0.31	0.756	0.841
CSTF3	3263.928	-0.234	0.05	-4.684	0.0	0.0
CSTL1	0.715	-0.035	0.078	-0.448	0.654	
CSTT	0.0					
CT45A1	0.0					
CT45A2	0.0					
CT45A3	0.0					
CT45A4	0.0					
CT45A5	0.375	0.04	0.06	0.67	0.503	
CT45A6	0.0					
CT47A1	0.0					
CT47A10	0.0					
CT47A11	0.0					
CT47A12	0.0					
CT47A2	0.0					
CT47A3	0.0					
CT47A4	0.0					
CT47A5	0.0					
CT47A6	0.0					
CT47A7	0.0					
CT47A8	0.0					
CT47A9	0.0					
CT47B1	0.134	0.0	0.042	0.0	1.0	
CT62	0.52	-0.053	0.07	-0.762	0.446	
CTAG1A	0.0					
CTAG1B	0.0					
CTAG2	0.0					
CTAGE1	115.462	0.189	0.148	1.275	0.202	0.325
CTAGE10P	22.641	0.151	0.207	0.729	0.466	0.605
CTAGE11P	32.981	0.193	0.199	0.968	0.333	0.473
CTAGE15P	0.0					
CTAGE4	5.698	-0.039	0.179	-0.218	0.827	0.888
CTAGE5	361.571	0.281	0.097	2.888	0.004	0.012
CTAGE6P	0.293	0.0	0.053	0.0	1.0	
CTAGE7P	70.923	0.299	0.168	1.788	0.074	0.147
CTAGE9	0.238	0.013	0.049	0.265	0.791	
CTBP1	3576.377	-0.246	0.054	-4.557	0.0	0.0
CTBP2	1762.471	-0.011	0.06	-0.176	0.861	0.912
CTBS	443.75	0.424	0.096	4.43	0.0	0.0
CTC1	807.567	0.008	0.073	0.115	0.908	0.944
CTCF	2128.332	-0.434	0.056	-7.784	0.0	0.0
CTCFL	27.543	0.722	0.203	3.568	0.0	0.002
CTDNEP1	1819.493	-0.205	0.059	-3.508	0.0	0.002
CTDP1	514.889	-0.38	0.084	-4.525	0.0	0.0
CTDSP1	1298.434	-0.397	0.072	-5.504	0.0	0.0
